,DateTime,Open,High,Low,Close,Volume,Count
2023-04-28 02:15:00,2023-04-28 02:15:00,4150.0,4150.25,4149.25,4150.0,391,198
2023-04-28 02:20:00,2023-04-28 02:20:00,4149.75,4150.25,4149.0,4150.25,633,233
2023-04-28 02:25:00,2023-04-28 02:25:00,4150.25,4150.5,4149.5,4149.75,320,162
2023-04-28 02:30:00,2023-04-28 02:30:00,4150.0,4150.0,4145.75,4147.5,2399,556
2023-04-28 02:35:00,2023-04-28 02:35:00,4147.75,4149.25,4147.5,4148.5,657,289
2023-04-28 02:40:00,2023-04-28 02:40:00,4148.5,4149.5,4148.25,4149.0,668,253
2023-04-28 02:45:00,2023-04-28 02:45:00,4149.0,4149.0,4146.0,4147.25,2430,782
2023-04-28 02:50:00,2023-04-28 02:50:00,4147.5,4147.75,4146.75,4147.5,486,206
2023-04-28 02:55:00,2023-04-28 02:55:00,4147.25,4147.25,4145.25,4145.25,886,290
2023-04-28 03:00:00,2023-04-28 03:00:00,4145.5,4147.25,4145.25,4147.25,2428,913
2023-04-28 03:05:00,2023-04-28 03:05:00,4147.0,4147.75,4144.0,4145.0,2861,939
2023-04-28 03:10:00,2023-04-28 03:10:00,4145.25,4146.75,4143.5,4143.5,2002,708
2023-04-28 03:15:00,2023-04-28 03:15:00,4143.75,4144.0,4140.75,4142.5,3161,954
2023-04-28 03:20:00,2023-04-28 03:20:00,4142.75,4145.75,4141.75,4143.75,2089,686
2023-04-28 03:25:00,2023-04-28 03:25:00,4143.75,4144.5,4141.75,4142.25,1658,458
2023-04-28 03:30:00,2023-04-28 03:30:00,4142.25,4143.75,4141.5,4143.25,1824,553
2023-04-28 03:35:00,2023-04-28 03:35:00,4143.0,4143.0,4140.75,4142.0,1502,447
2023-04-28 03:40:00,2023-04-28 03:40:00,4142.0,4143.5,4140.5,4140.75,1635,481
2023-04-28 03:45:00,2023-04-28 03:45:00,4140.75,4143.25,4140.75,4143.25,1302,425
2023-04-28 03:50:00,2023-04-28 03:50:00,4143.25,4144.75,4142.75,4144.0,1334,406
2023-04-28 03:55:00,2023-04-28 03:55:00,4143.75,4143.75,4141.75,4142.0,1272,418
2023-04-28 04:00:00,2023-04-28 04:00:00,4142.0,4143.0,4139.75,4140.5,4404,1125
2023-04-28 04:05:00,2023-04-28 04:05:00,4140.5,4141.25,4139.75,4140.25,2312,589
2023-04-28 04:10:00,2023-04-28 04:10:00,4140.25,4141.0,4139.25,4139.75,1763,539
2023-04-28 04:15:00,2023-04-28 04:15:00,4139.75,4142.5,4138.25,4141.25,2321,770
2023-04-28 04:20:00,2023-04-28 04:20:00,4141.5,4142.0,4138.5,4138.75,1835,624
2023-04-28 04:25:00,2023-04-28 04:25:00,4138.75,4139.0,4137.25,4137.25,1787,569
2023-04-28 04:30:00,2023-04-28 04:30:00,4137.25,4138.5,4136.25,4137.75,2266,596
2023-04-28 04:35:00,2023-04-28 04:35:00,4137.5,4137.75,4135.25,4137.0,2295,684
2023-04-28 04:40:00,2023-04-28 04:40:00,4137.25,4137.75,4136.0,4136.5,1520,409
2023-04-28 04:45:00,2023-04-28 04:45:00,4136.5,4136.5,4134.5,4136.0,2278,580
2023-04-28 04:50:00,2023-04-28 04:50:00,4135.75,4136.5,4134.5,4135.25,1347,405
2023-04-28 04:55:00,2023-04-28 04:55:00,4135.25,4136.0,4133.75,4135.25,1815,578
2023-04-28 05:00:00,2023-04-28 05:00:00,4135.5,4135.75,4133.25,4134.25,2264,645
2023-04-28 05:05:00,2023-04-28 05:05:00,4134.5,4134.5,4131.75,4132.25,2655,673
2023-04-28 05:10:00,2023-04-28 05:10:00,4132.25,4133.25,4131.5,4133.25,2554,660
2023-04-28 05:15:00,2023-04-28 05:15:00,4133.0,4138.0,4132.75,4137.75,3023,885
2023-04-28 05:20:00,2023-04-28 05:20:00,4137.5,4140.75,4136.25,4140.25,3568,856
2023-04-28 05:25:00,2023-04-28 05:25:00,4140.25,4140.25,4138.0,4139.5,1582,462
2023-04-28 05:30:00,2023-04-28 05:30:00,4139.25,4140.25,4138.25,4139.75,1382,347
2023-04-28 05:35:00,2023-04-28 05:35:00,4139.75,4141.0,4139.0,4139.75,797,264
2023-04-28 05:40:00,2023-04-28 05:40:00,4140.0,4140.0,4139.0,4140.0,766,287
2023-04-28 05:45:00,2023-04-28 05:45:00,4140.0,4140.25,4138.5,4138.5,849,269
2023-04-28 05:50:00,2023-04-28 05:50:00,4138.75,4140.0,4137.25,4139.0,1231,342
2023-04-28 05:55:00,2023-04-28 05:55:00,4139.0,4140.5,4138.75,4139.0,1155,324
2023-04-28 06:00:00,2023-04-28 06:00:00,4139.0,4141.0,4137.75,4140.75,2008,543
2023-04-28 06:05:00,2023-04-28 06:05:00,4140.75,4141.0,4137.5,4139.5,2083,502
2023-04-28 06:10:00,2023-04-28 06:10:00,4139.25,4141.0,4139.0,4140.5,1029,291
2023-04-28 06:15:00,2023-04-28 06:15:00,4140.5,4141.0,4139.25,4139.5,838,297
2023-04-28 06:20:00,2023-04-28 06:20:00,4139.5,4140.5,4139.25,4140.0,890,306
2023-04-28 06:25:00,2023-04-28 06:25:00,4140.0,4141.0,4139.5,4139.75,722,224
2023-04-28 06:30:00,2023-04-28 06:30:00,4139.5,4140.0,4137.25,4138.5,1608,539
2023-04-28 06:35:00,2023-04-28 06:35:00,4138.5,4139.0,4137.75,4139.0,586,264
2023-04-28 06:40:00,2023-04-28 06:40:00,4139.25,4139.25,4137.75,4138.25,433,168
2023-04-28 06:45:00,2023-04-28 06:45:00,4138.5,4138.5,4137.25,4138.25,941,298
2023-04-28 06:50:00,2023-04-28 06:50:00,4138.0,4138.5,4137.25,4137.5,809,206
2023-04-28 06:55:00,2023-04-28 06:55:00,4137.5,4138.75,4136.5,4136.75,1318,416
2023-04-28 07:00:00,2023-04-28 07:00:00,4136.75,4139.0,4136.75,4137.0,2027,606
2023-04-28 07:05:00,2023-04-28 07:05:00,4137.0,4137.75,4136.5,4137.5,1145,384
2023-04-28 07:10:00,2023-04-28 07:10:00,4137.75,4138.75,4137.25,4138.0,938,312
2023-04-28 07:15:00,2023-04-28 07:15:00,4138.0,4138.5,4137.25,4138.0,888,301
2023-04-28 07:20:00,2023-04-28 07:20:00,4138.0,4139.75,4138.0,4139.5,862,258
2023-04-28 07:25:00,2023-04-28 07:25:00,4139.25,4142.5,4139.25,4142.25,2141,653
2023-04-28 07:30:00,2023-04-28 07:30:00,4142.0,4142.75,4141.25,4141.25,2657,750
2023-04-28 07:35:00,2023-04-28 07:35:00,4141.25,4141.75,4140.5,4141.0,1475,537
2023-04-28 07:40:00,2023-04-28 07:40:00,4141.25,4142.0,4140.5,4141.5,1977,475
2023-04-28 07:45:00,2023-04-28 07:45:00,4141.5,4142.5,4141.25,4142.0,1766,519
2023-04-28 07:50:00,2023-04-28 07:50:00,4142.0,4142.75,4138.75,4138.75,2951,799
2023-04-28 07:55:00,2023-04-28 07:55:00,4139.0,4139.5,4137.25,4137.75,2545,622
2023-04-28 08:00:00,2023-04-28 08:00:00,4138.0,4138.75,4135.5,4137.0,3020,1047
2023-04-28 08:05:00,2023-04-28 08:05:00,4137.25,4139.25,4136.25,4137.5,2172,683
2023-04-28 08:10:00,2023-04-28 08:10:00,4137.75,4140.25,4137.25,4140.0,1965,609
2023-04-28 08:15:00,2023-04-28 08:15:00,4140.25,4140.5,4138.25,4139.75,3020,656
2023-04-28 08:20:00,2023-04-28 08:20:00,4139.75,4141.0,4139.75,4140.0,2029,550
2023-04-28 08:25:00,2023-04-28 08:25:00,4140.0,4141.75,4140.0,4140.75,3126,683
2023-04-28 08:30:00,2023-04-28 08:30:00,4140.5,4145.75,4134.75,4139.75,14896,4684
2023-04-28 08:35:00,2023-04-28 08:35:00,4139.5,4143.0,4139.25,4140.0,5894,1700
2023-04-28 08:40:00,2023-04-28 08:40:00,4140.25,4143.5,4138.25,4142.75,4214,1218
2023-04-28 08:45:00,2023-04-28 08:45:00,4143.0,4143.75,4140.25,4141.0,3689,1002
2023-04-28 08:50:00,2023-04-28 08:50:00,4140.75,4146.0,4139.25,4145.75,5257,1384
2023-04-28 08:55:00,2023-04-28 08:55:00,4145.75,4145.75,4142.5,4143.0,2939,962
2023-04-28 09:00:00,2023-04-28 09:00:00,4143.0,4146.75,4142.5,4145.25,3219,1052
2023-04-28 09:05:00,2023-04-28 09:05:00,4145.5,4145.75,4142.75,4145.25,3530,944
2023-04-28 09:10:00,2023-04-28 09:10:00,4145.25,4145.5,4143.25,4144.75,3116,856
2023-04-28 09:15:00,2023-04-28 09:15:00,4144.75,4147.25,4144.25,4146.5,3173,969
2023-04-28 09:20:00,2023-04-28 09:20:00,4146.5,4147.0,4144.0,4146.0,4389,1064
2023-04-28 09:25:00,2023-04-28 09:25:00,4145.75,4146.75,4143.25,4144.25,8763,1820
2023-04-28 09:30:00,2023-04-28 09:30:00,4144.5,4151.5,4143.75,4149.5,34468,8771
2023-04-28 09:35:00,2023-04-28 09:35:00,4149.75,4153.5,4149.25,4153.0,20430,5772
2023-04-28 09:40:00,2023-04-28 09:40:00,4152.75,4153.75,4148.75,4151.5,20103,5542
2023-04-28 09:45:00,2023-04-28 09:45:00,4151.5,4157.25,4150.5,4155.0,26452,7126
2023-04-28 09:50:00,2023-04-28 09:50:00,4155.0,4156.75,4154.25,4156.5,15087,4127
2023-04-28 09:55:00,2023-04-28 09:55:00,4156.25,4157.5,4154.5,4155.25,11958,3251
2023-04-28 10:00:00,2023-04-28 10:00:00,4155.25,4160.0,4153.0,4159.75,27004,7205
2023-04-28 10:05:00,2023-04-28 10:05:00,4159.75,4170.5,4159.0,4168.5,39158,9571
2023-04-28 10:10:00,2023-04-28 10:10:00,4168.5,4173.0,4168.0,4171.0,36889,7619
2023-04-28 10:15:00,2023-04-28 10:15:00,4171.0,4174.25,4170.25,4174.25,22616,4701
2023-04-28 10:20:00,2023-04-28 10:20:00,4174.25,4176.25,4171.0,4176.0,25453,5273
2023-04-28 10:25:00,2023-04-28 10:25:00,4176.0,4178.25,4174.75,4177.0,22741,4483
2023-04-28 10:30:00,2023-04-28 10:30:00,4177.0,4178.0,4171.5,4175.0,25833,5947
2023-04-28 10:35:00,2023-04-28 10:35:00,4175.0,4175.0,4163.0,4168.75,37180,8662
2023-04-28 10:40:00,2023-04-28 10:40:00,4168.75,4171.25,4164.5,4170.25,27027,6275
2023-04-28 10:45:00,2023-04-28 10:45:00,4170.5,4176.5,4167.75,4175.75,22172,5503
2023-04-28 10:50:00,2023-04-28 10:50:00,4175.75,4177.75,4173.75,4176.25,16509,3798
2023-04-28 10:55:00,2023-04-28 10:55:00,4176.5,4176.75,4158.5,4162.0,39657,10048
2023-04-28 11:00:00,2023-04-28 11:00:00,4162.25,4162.5,4152.75,4155.75,34964,8903
2023-04-28 11:05:00,2023-04-28 11:05:00,4155.75,4165.5,4155.75,4164.75,24854,6899
2023-04-28 11:10:00,2023-04-28 11:10:00,4164.75,4166.75,4162.0,4164.5,15248,4277
2023-04-28 11:15:00,2023-04-28 11:15:00,4164.5,4168.25,4163.25,4167.5,14518,3837
2023-04-28 11:20:00,2023-04-28 11:20:00,4167.75,4168.5,4165.5,4166.5,10369,2936
2023-04-28 11:25:00,2023-04-28 11:25:00,4166.75,4168.75,4166.0,4167.5,9980,2553
2023-04-28 11:30:00,2023-04-28 11:30:00,4167.5,4173.25,4167.25,4171.5,18371,4690
2023-04-28 11:35:00,2023-04-28 11:35:00,4171.25,4172.25,4168.75,4169.25,10257,2417
2023-04-28 11:40:00,2023-04-28 11:40:00,4169.5,4172.75,4167.5,4172.0,11201,2741
2023-04-28 11:45:00,2023-04-28 11:45:00,4172.0,4176.25,4171.25,4175.75,11690,2901
2023-04-28 11:50:00,2023-04-28 11:50:00,4175.5,4176.5,4174.75,4174.75,9672,2149
2023-04-28 11:55:00,2023-04-28 11:55:00,4174.75,4179.0,4174.0,4177.75,12653,2915
2023-04-28 12:00:00,2023-04-28 12:00:00,4177.75,4179.25,4175.5,4176.75,10852,2586
2023-04-28 12:05:00,2023-04-28 12:05:00,4177.0,4181.25,4176.25,4179.0,14329,3519
2023-04-28 12:10:00,2023-04-28 12:10:00,4179.0,4180.75,4179.0,4180.0,7235,1792
2023-04-28 12:15:00,2023-04-28 12:15:00,4180.25,4180.25,4175.75,4176.25,11087,2768
2023-04-28 12:20:00,2023-04-28 12:20:00,4176.5,4178.75,4173.75,4177.5,12424,3190
2023-04-28 12:25:00,2023-04-28 12:25:00,4177.5,4179.75,4175.0,4179.75,10026,2665
2023-04-28 12:30:00,2023-04-28 12:30:00,4179.75,4182.5,4178.25,4178.75,13089,3202
2023-04-28 12:35:00,2023-04-28 12:35:00,4178.75,4179.25,4176.5,4177.0,8114,2280
2023-04-28 12:40:00,2023-04-28 12:40:00,4177.0,4180.75,4175.75,4180.5,9709,2543
2023-04-28 12:45:00,2023-04-28 12:45:00,4180.5,4181.25,4178.0,4180.75,7813,1990
2023-04-28 12:50:00,2023-04-28 12:50:00,4181.0,4182.75,4180.25,4182.25,8863,2240
2023-04-28 12:55:00,2023-04-28 12:55:00,4182.25,4185.75,4182.0,4185.0,12909,2907
2023-04-28 13:00:00,2023-04-28 13:00:00,4185.0,4185.25,4179.5,4182.75,15136,3843
2023-04-28 13:05:00,2023-04-28 13:05:00,4183.0,4185.25,4182.0,4183.0,9746,2488
2023-04-28 13:10:00,2023-04-28 13:10:00,4183.25,4185.5,4182.0,4185.0,8373,2111
2023-04-28 13:15:00,2023-04-28 13:15:00,4185.0,4185.25,4182.5,4183.0,7814,1969
2023-04-28 13:20:00,2023-04-28 13:20:00,4183.0,4184.25,4182.5,4183.75,5961,1561
2023-04-28 13:25:00,2023-04-28 13:25:00,4183.75,4185.25,4182.75,4184.75,6903,1744
2023-04-28 13:30:00,2023-04-28 13:30:00,4185.0,4185.75,4183.0,4183.5,8436,2091
2023-04-28 13:35:00,2023-04-28 13:35:00,4183.25,4184.0,4177.75,4181.75,16319,3691
2023-04-28 13:40:00,2023-04-28 13:40:00,4181.75,4183.5,4180.75,4181.5,10743,2520
2023-04-28 13:45:00,2023-04-28 13:45:00,4181.5,4182.5,4179.5,4180.25,7646,1951
2023-04-28 13:50:00,2023-04-28 13:50:00,4180.0,4181.25,4177.25,4178.5,12237,2655
2023-04-28 13:55:00,2023-04-28 13:55:00,4178.5,4180.0,4175.75,4179.5,10829,2640
2023-04-28 14:00:00,2023-04-28 14:00:00,4179.75,4185.25,4179.5,4184.75,15691,3774
2023-04-28 14:05:00,2023-04-28 14:05:00,4184.75,4185.25,4182.5,4183.0,9660,2229
2023-04-28 14:10:00,2023-04-28 14:10:00,4183.0,4183.25,4176.75,4178.75,15163,3826
2023-04-28 14:15:00,2023-04-28 14:15:00,4178.5,4182.5,4177.25,4181.5,10245,2677
2023-04-28 14:20:00,2023-04-28 14:20:00,4181.5,4182.25,4177.0,4179.25,11103,2746
2023-04-28 14:25:00,2023-04-28 14:25:00,4179.25,4179.25,4176.25,4178.25,10545,2337
2023-04-28 14:30:00,2023-04-28 14:30:00,4178.25,4179.25,4175.75,4177.75,13490,3268
2023-04-28 14:35:00,2023-04-28 14:35:00,4177.5,4177.75,4173.5,4174.75,12366,2898
2023-04-28 14:40:00,2023-04-28 14:40:00,4174.5,4177.5,4172.25,4173.75,16567,3618
2023-04-28 14:45:00,2023-04-28 14:45:00,4173.5,4175.75,4171.25,4173.0,13954,3040
2023-04-28 14:50:00,2023-04-28 14:50:00,4173.25,4176.5,4172.25,4174.5,10745,2561
2023-04-28 14:55:00,2023-04-28 14:55:00,4174.25,4179.0,4173.75,4178.25,11322,2485
2023-04-28 15:00:00,2023-04-28 15:00:00,4178.25,4181.0,4177.25,4180.25,15276,3494
2023-04-28 15:05:00,2023-04-28 15:05:00,4180.25,4181.5,4179.0,4180.75,8857,2091
2023-04-28 15:10:00,2023-04-28 15:10:00,4180.75,4183.25,4180.0,4182.0,12355,2612
2023-04-28 15:15:00,2023-04-28 15:15:00,4182.0,4186.25,4181.0,4185.5,14017,2868
2023-04-28 15:20:00,2023-04-28 15:20:00,4185.5,4185.5,4179.0,4180.5,19606,4160
2023-04-28 15:25:00,2023-04-28 15:25:00,4180.5,4181.75,4178.0,4179.25,10682,2506
2023-04-28 15:30:00,2023-04-28 15:30:00,4179.25,4181.25,4176.75,4177.75,12179,2904
2023-04-28 15:35:00,2023-04-28 15:35:00,4177.5,4181.0,4176.5,4180.0,10250,2664
2023-04-28 15:40:00,2023-04-28 15:40:00,4180.0,4183.0,4178.75,4182.75,15422,3272
2023-04-28 15:45:00,2023-04-28 15:45:00,4182.5,4183.5,4178.5,4180.5,16015,3643
2023-04-28 15:50:00,2023-04-28 15:50:00,4180.25,4183.75,4178.5,4183.5,19834,3957
2023-04-28 15:55:00,2023-04-28 15:55:00,4183.25,4190.0,4182.75,4189.5,123993,11526
2023-04-28 16:00:00,2023-04-28 16:00:00,4189.75,4193.75,4188.25,4191.25,51675,6485
2023-04-28 16:05:00,2023-04-28 16:05:00,4191.5,4192.0,4190.25,4192.0,9259,1313
2023-04-28 16:10:00,2023-04-28 16:10:00,4192.0,4193.25,4191.5,4191.5,8358,1155
2023-04-28 16:15:00,2023-04-28 16:15:00,4191.5,4192.75,4191.25,4191.5,3222,566
2023-04-28 16:20:00,2023-04-28 16:20:00,4191.25,4192.25,4190.75,4191.25,2144,322
2023-04-28 16:25:00,2023-04-28 16:25:00,4191.5,4191.5,4190.0,4190.25,1882,302
